Al,Ca,Fe,Mg,Na,Si,Ti,K,C,% Ash DB,"MAF BTU, DB","% Sulfur, DB",% Carbon,SiO2,Al2O3,Fe2O3,CaO,MgO,K2O,Na2O,Initial Temp.,Slagging Temp.
511.21,613.62,187.6,567.76,388.03,523.98,168.71,94.18,214.49,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
467.07,617.21,193.89,555.39,345.87,510.72,183.5,85.56,199.81,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
509.21,669.12,209.2,620.22,318.19,527.55,177.76,89.91,225.11,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
494.6,664.11,206.15,586.99,313.53,534.76,181.46,84.1,205.64,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
494.8,682.75,214.74,601.69,286.77,513.39,182.21,81.01,199.44,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
420.71,664.56,210.62,533.46,245.72,502.35,140.26,79.18,203.71,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
411.83,673.02,203.04,520,210.4,453.54,144.52,72.84,212.8,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
412.07,638.31,202.52,529.99,217.31,467.54,148.15,65.14,216.75,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
395.77,654.66,207.48,504.3,217.3,466.22,138.93,60.26,198.3,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
419.71,689.61,210.92,551.36,209.21,514.93,145.99,63.39,214.58,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
412.5,698.66,211.84,535.7,208.23,479.98,142.21,60.63,206,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
392.28,667.98,207.03,514.95,182.06,470.14,151.06,49.59,194.73,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
406.11,663.77,216.15,504.06,213.66,466.52,155,50.85,160.25,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
389.33,649.22,209.66,506.79,174.07,450.57,149.3,44.2,205.8,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
411.43,659.23,217.05,518.71,186.7,469.14,163.54,40.13,205.5,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
393.05,610.75,215.02,513.34,175.71,483.43,146.13,40.46,198.26,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
400.14,645.69,229.21,536.72,154.64,485.84,133.01,36.84,184.81,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
390.85,593.14,218.15,520.91,135.49,457.65,127.12,30.3,229.97,45.5,14354.13,1.04,43.75,63.6,20.2,6.65,1.68,1.63,4.07,0.56,1250.56,1
